k_sym,n_total,size_tag,data_size,seed,model,loss,symmetry_error,n_params
2,4,small,500,0,vanilla,530.3836669921875,97.05815124511719,3952
2,4,small,500,0,vanilla_aug,409.9786682128906,19.988523483276367,3952
2,4,small,500,0,shared,388.471923828125,7.584490327450233e-12,3948
2,4,small,500,0,shared_aug,386.2047119140625,8.15879828974797e-12,3948
2,4,small,500,1,vanilla,140.19020080566406,41.49605941772461,3952
2,4,small,500,1,vanilla_aug,139.30470275878906,2.845705270767212,3952
2,4,small,500,1,shared,159.16351318359375,2.097886751470379e-12,3948
2,4,small,500,1,shared_aug,154.08926391601562,1.8391893910618684e-12,3948
2,4,small,500,2,vanilla,371.9405212402344,134.4927978515625,3952
2,4,small,500,2,vanilla_aug,121.70580291748047,17.488698959350586,3952
2,4,small,500,2,shared,114.9317855834961,3.700601023531869e-12,3948
2,4,small,500,2,shared_aug,117.39324951171875,3.807457821247695e-12,3948
2,4,small,500,3,vanilla,636.990966796875,127.76593780517578,3952
2,4,small,500,3,vanilla_aug,663.4976806640625,50.012550354003906,3952
2,4,small,500,3,shared,934.6539916992188,2.4648137263855174e-12,3948
2,4,small,500,3,shared_aug,935.7023315429688,2.345353078414547e-12,3948
2,4,small,500,4,vanilla,314.6180114746094,112.04322052001953,3952
2,4,small,500,4,vanilla_aug,363.4769592285156,29.181602478027344,3952
2,4,small,500,4,shared,571.0703125,6.579074524754036e-12,3948
2,4,small,500,4,shared_aug,556.1100463867188,6.705427879616366e-12,3948
2,4,small,2000,0,vanilla,1241.1256103515625,867.2704467773438,3952
2,4,small,2000,0,vanilla_aug,697.72314453125,101.15708923339844,3952
2,4,small,2000,0,shared,1346.9884033203125,2.940738624834793e-11,3948
2,4,small,2000,0,shared_aug,1244.1240234375,2.306231594584318e-11,3948
2,4,small,2000,1,vanilla,1097.8466796875,970.8011474609375,3952
2,4,small,2000,1,vanilla_aug,1175.9881591796875,288.4461975097656,3952
2,4,small,2000,1,shared,1432.057373046875,4.196517439103431e-11,3948
2,4,small,2000,1,shared_aug,1402.1864013671875,3.9189842343523296e-11,3948
2,4,small,2000,2,vanilla,2051.163330078125,1119.9947509765625,3952
2,4,small,2000,2,vanilla_aug,2371.42041015625,225.72361755371094,3952
2,4,small,2000,2,shared,3151.438232421875,3.650939273125431e-11,3948
2,4,small,2000,2,shared_aug,2356.224609375,4.737309156066516e-11,3948
2,4,small,2000,3,vanilla,6667.67626953125,5538.12939453125,3952
2,4,small,2000,3,vanilla_aug,4157.3486328125,1404.138427734375,3952
