model depth,data_size,seed,model,loss,accuracy,symmetry_error
3,500,0,symmetric,0.6798054575920105,0.58,5.572653392205271e-15
3,500,0,vanilla,0.7146615386009216,0.4,7.329091313295067e-05
3,500,0,symmetric_aug,0.6817559599876404,0.58,8.48476833497508e-15
3,500,0,vanilla_aug,0.6925806999206543,0.52,0.011315211839973926
3,500,1,symmetric,0.6600357890129089,0.58,2.810168725392065e-15
3,500,1,vanilla,0.6910345554351807,0.48,0.0001857835188275203
3,500,1,symmetric_aug,0.6853498816490173,0.58,8.609224241167869e-16
3,500,1,vanilla_aug,0.6974710822105408,0.48,6.352606942527927e-05
3,500,2,symmetric,0.5892535448074341,0.74,1.0257960998097567e-14
3,500,2,vanilla,0.7216159105300903,0.46,0.0009457385749556124
3,500,2,symmetric_aug,0.6284705996513367,0.66,1.9234335863065902e-15
3,500,2,vanilla_aug,0.653964102268219,0.56,0.019635415449738503
3,500,3,symmetric,0.7167924642562866,0.56,7.892353152852243e-15
3,500,3,vanilla,0.7214767932891846,0.42,0.0218076229095459
3,500,3,symmetric_aug,0.6835905313491821,0.58,8.424039121975556e-15
3,500,3,vanilla_aug,0.7089627981185913,0.42,0.0032496149186044933
3,500,4,symmetric,0.5777316093444824,0.72,7.49356131684556e-15
3,500,4,vanilla,0.6606184244155884,0.58,0.08474761843681336
3,500,4,symmetric_aug,0.6198728680610657,0.64,6.221356539475292e-15
3,500,4,vanilla_aug,0.6384434700012207,0.64,0.026382505148649215
3,1500,0,symmetric,0.6070206427574157,0.66,1.0247250831168167e-14
3,1500,0,vanilla,0.6884539961814881,0.5066666666666667,0.088152294109265
3,1500,0,symmetric_aug,0.604865760008494,0.6533333333333333,5.120696093308163e-15
3,1500,0,vanilla_aug,0.6496066347757975,0.6466666666666666,0.02099223422507445
3,1500,1,symmetric,0.635692142645518,0.64,7.655963593214555e-15
3,1500,1,vanilla,0.6899440455436706,0.52,0.001675565253632764
3,1500,1,symmetric_aug,0.6557775982220968,0.62,8.104467934067749e-15
3,1500,1,vanilla_aug,0.6653309535980224,0.6066666666666667,0.02725947511692842
3,1500,2,symmetric,0.6887095737457275,0.4866666666666667,7.907579381819046e-16
3,1500,2,vanilla,0.6910514855384826,0.4866666666666667,0.0003938446073637654
3,1500,2,symmetric_aug,0.6365212718645732,0.6533333333333333,5.689073016842122e-15
3,1500,2,vanilla_aug,0.661379759311676,0.6266666666666667,0.02151683655877908
3,1500,3,symmetric,0.6714272594451904,0.6066666666666667,5.311789027314906e-15
3,1500,3,vanilla,0.6890183901786804,0.5,0.0016971536291142304
3,1500,3,symmetric_aug,0.6541463915506999,0.6266666666666667,6.126373201151078e-15
3,1500,3,vanilla_aug,0.636317609945933,0.6266666666666667,0.03263387630383174
3,1500,4,symmetric,0.6116106255849203,0.6933333333333334,7.134561451103856e-15
3,1500,4,vanilla,0.6651826842625936,0.5466666666666666,0.03589185103774071
3,1500,4,symmetric_aug,0.6175384243329366,0.6866666666666666,7.126140334245548e-15
3,1500,4,vanilla_aug,0.6716796819368999,0.5533333333333333,0.030675651629765828
3,4110,0,symmetric,0.6445583067381179,0.6204379562043796,8.692728705962108e-15
3,4110,0,vanilla,0.7039093257736986,0.49148418491484186,0.08314814844301768
3,4110,0,symmetric_aug,0.6233078893953866,0.6399026763990268,7.48745155929278e-15
3,4110,0,vanilla_aug,0.652487825593229,0.6228710462287105,0.03166936649275678
3,4110,1,symmetric,0.6116449365940697,0.6593673965936739,4.233461486119751e-15
3,4110,1,vanilla,0.7375856907698359,0.49635036496350365,0.19549555906227656
3,4110,1,symmetric_aug,0.5935913272147632,0.6763990267639902,7.164032115165046e-15
3,4110,1,vanilla_aug,0.6395203814889393,0.6472019464720195,0.02506656548274415
3,4110,2,symmetric,0.5821313984202643,0.6593673965936739,1.3134251251085376e-14
3,4110,2,vanilla,0.7486393047075202,0.48418491484184917,0.21488919343267168
3,4110,2,symmetric_aug,0.5682973696367584,0.6739659367396593,7.810879292242927e-15
3,4110,2,vanilla_aug,0.6310167879663825,0.6642335766423357,0.017842356834028447
3,4110,3,symmetric,0.6264758523363266,0.6180048661800487,7.554467541580355e-15
3,4110,3,vanilla,0.8021008688457981,0.5085158150851582,0.4700872957706451
3,4110,3,symmetric_aug,0.635677745017402,0.6277372262773723,9.219941941808386e-15
3,4110,3,vanilla_aug,0.6318431361748355,0.6155717761557178,0.030837287807038854
3,4110,4,symmetric,0.6401580344441453,0.6301703163017032,1.364935088724591e-14
3,4110,4,vanilla,0.7702971580834864,0.5255474452554745,0.4789360361439841
3,4110,4,symmetric_aug,0.6410562802115206,0.6593673965936739,7.333718697406856e-15
3,4110,4,vanilla_aug,0.655883198236897,0.6034063260340633,0.02765872249645846
