task,model,width_tag,data_size,epochs_ran,final_train_loss,final_valid_loss,best_valid_loss,best_epoch
Graph,shared,2,500,28,0.7830270767211914,0.6569055318832397,0.5525274872779846,23
Graph,vanilla,2,500,8,0.15219995081424714,1.0536760091781616,0.6547830104827881,3
Graph,shared,2,1500,18,0.6765801040331523,0.6612928318977356,0.6292563223838806,13
Graph,vanilla,2,1500,7,0.1732543287674586,1.5610006697972616,0.6588894788424174,2
Graph,shared,2,4110,11,0.7202350845302108,0.6934545510006647,0.665327227028617,6
Graph,vanilla,2,4110,8,0.1016067400339021,1.575256551849291,0.6393095713172225,3
Graph,shared,3,500,20,0.6236022090911866,0.6286824345588684,0.6163713335990906,15
Graph,vanilla,3,500,6,0.6715359544754028,0.6949285268783569,0.692131519317627,1
Graph,shared,3,1500,20,0.5911715324719747,0.6402946972846985,0.623743987083435,15
Graph,vanilla,3,1500,12,0.6575811457633972,0.6691022642453511,0.6511182808876037,7
Graph,shared,3,4110,29,0.5649890368147198,0.6159487262259434,0.6098386562653701,24
Graph,vanilla,3,4110,13,0.6377348469121613,0.6736079315199469,0.6498451245962268,8
Graph,shared,4,500,28,651.849135131836,1003.6704711914062,22.683313369750977,23
Graph,vanilla,4,500,8,0.15439207464456559,1.7099404335021973,0.685524046421051,3
Graph,shared,4,1500,24,117.63880325317383,137.25703338623046,39.141068827311194,19
Graph,vanilla,4,1500,6,0.27497046927611035,1.1902202955881755,0.6839802519480387,1
Graph,shared,4,4110,49,2.0346540250337326,2.3908051284270275,0.8160374322656877,44
Graph,vanilla,4,4110,6,0.2267496973058603,1.0543274841749466,0.6287545535686242,1
Graph,shared,5,500,17,0.6314061093330383,0.7742062211036682,0.664747953414917,12
Graph,vanilla,5,500,6,0.6729121398925781,0.7012972831726074,0.6670027375221252,1
Graph,shared,5,1500,13,0.6261981701850892,0.6408965142567953,0.6401329390207926,8
Graph,vanilla,5,1500,16,0.6635716239611308,0.6740933998425802,0.6542861684163411,11
Graph,shared,5,4110,37,0.5632388865860709,0.6102712044170593,0.6072139584815125,32
Graph,vanilla,5,4110,8,0.6508532314404954,0.696277163034518,0.6690451175046953,3
Graph,shared,7,500,6,0.6801051187515259,0.7134698629379272,0.6853556632995605,1
Graph,vanilla,7,500,6,0.6727962160110473,0.700736403465271,0.7001500129699707,1
Graph,shared,7,1500,15,0.6243214511871338,0.6700858084360758,0.6341803598403931,10
Graph,vanilla,7,1500,14,0.6565788650512695,0.7713063756624857,0.6581963507334391,9
Graph,shared,7,4110,19,0.5973665567790215,0.6472998770484089,0.6295234312976363,14
Graph,vanilla,7,4110,17,0.6435977066810403,0.6539167966285762,0.6508474834353964,12
