task,width_tag,data_size,model,loss,acc,sym_error,log10_sym_error,model_key
Graph,3,500,symmetric,0.6321879625320435,0.66,3.33633059974327e-15,-14.47673092130457,shared
Graph,3,500,symmetric (data augmented),0.5570729970932007,0.72,4.354044074001101e-15,-14.361107179107833,shared_aug
Graph,3,500,vanilla,1.0809837579727173,0.36,0.3412201553583145,-0.46696532362887627,vanilla
Graph,3,500,vanilla (data augmented),0.6934324502944946,0.44,0.006668172869831323,-2.1759931497797464,vanilla_aug
Graph,3,1500,symmetric,0.6706274954477945,0.6466666666666666,5.658142168817121e-15,-14.247326144479404,shared
Graph,3,1500,symmetric (data augmented),0.6480799587567647,0.64,5.746720865151692e-15,-14.240579897292688,shared_aug
Graph,3,1500,vanilla,2.122624373435974,0.56,9.5591828028361,0.9804207668170483,vanilla
Graph,3,1500,vanilla (data augmented),0.6599831430117289,0.6333333333333333,0.02248163359860579,-1.6481721345138565,vanilla_aug
Graph,3,4110,symmetric,0.6036723190850585,0.6593673965936739,9.27081221162211e-15,-14.032882215847572,shared
Graph,3,4110,symmetric (data augmented),0.6064215578011932,0.6690997566909975,6.8118363723183586e-15,-14.166735792807604,shared_aug
Graph,3,4110,vanilla,3.5493629030937695,0.5231143552311436,19.615128135681154,1.2925911495003495,vanilla
Graph,3,4110,vanilla (data augmented),0.611724000052524,0.6642335766423357,0.028081578388810157,-1.551578485349727,vanilla_aug
Graph,5,500,symmetric,0.6705159544944763,0.58,9.483245987462296e-16,-15.023042984059346,shared
Graph,5,500,symmetric (data augmented),0.6904081702232361,0.54,1.941835228854924e-15,-14.711787624188577,shared_aug
Graph,5,500,vanilla,2.5500197410583496,0.44,18.888425064086913,1.2761957475199632,vanilla
Graph,5,500,vanilla (data augmented),0.6856012940406799,0.46,0.0021379754645749925,-2.6699972830658907,vanilla_aug
Graph,5,1500,symmetric,0.6359653250376384,0.6133333333333333,2.3052815693481133e-15,-14.637276021881313,shared
Graph,5,1500,symmetric (data augmented),0.645013910929362,0.62,1.3106963861839245e-15,-14.882497897993936,shared_aug
Graph,5,1500,vanilla,6.076594053904215,0.5266666666666666,36.70659141540527,1.56474405766633,vanilla
Graph,5,1500,vanilla (data augmented),0.6620315408706665,0.56,0.030776995544632275,-1.51177377833409,vanilla_aug
Graph,5,4110,symmetric,0.6041330220925547,0.6326034063260341,3.857893617611594e-15,-14.413649752306767,shared
Graph,5,4110,symmetric (data augmented),0.5930183189048674,0.6642335766423357,4.3140712339674545e-15,-14.365112688101444,shared_aug
Graph,5,4110,vanilla,9.235890629807818,0.5206812652068127,161.41478206089565,2.2079433040757297,vanilla
Graph,5,4110,vanilla (data augmented),0.6241511982432827,0.6131386861313869,0.052861743313925603,-1.2768585184813859,vanilla_aug
Graph,7,500,symmetric,0.6284816265106201,0.68,1.1180776140846049e-15,-14.951528047792443,shared
Graph,7,500,symmetric (data augmented),0.7138388156890869,0.4,4.725108498237649e-16,-15.325588214743096,shared_aug
Graph,7,500,vanilla,5.400649547576904,0.34,25.39787063598633,1.404797306785035,vanilla
Graph,7,500,vanilla (data augmented),0.7253846526145935,0.46,0.021859706565737724,-1.660355672108925,vanilla_aug
Graph,7,1500,symmetric,0.6655401714642842,0.5666666666666667,1.1315763793536506e-15,-14.946316126629888,shared
Graph,7,1500,symmetric (data augmented),0.6567976148923238,0.66,1.9339876732982418e-15,-14.713546298316933,shared_aug
Graph,7,1500,vanilla,10.6589026705424,0.52,135.2701680501302,2.131202029563447,vanilla
Graph,7,1500,vanilla (data augmented),0.7476123785972595,0.5466666666666666,0.0785541775325934,-1.1048307141108253,vanilla_aug
Graph,7,4110,symmetric,0.6138024340290803,0.6618004866180048,3.0086282000703333e-15,-14.521631478140451,shared
Graph,7,4110,symmetric (data augmented),0.6074029163722574,0.6545012165450121,3.74611867797356e-15,-14.42641846818539,shared_aug
Graph,7,4110,vanilla,8.614732552038783,0.537712895377129,183.07718593052456,2.2626342282896865,vanilla
Graph,7,4110,vanilla (data augmented),0.6253954486835321,0.6374695863746959,0.04179037463452135,-1.3789237355571142,vanilla_aug
