n_block,data_size,model,loss_mean,loss_std,loss_n_seeds_used,symmetry_error_mean,symmetry_error_std,symmetry_error_n_seeds_used,n_params
1,50,shared,0.24998874962329862,0.17648032408786973,3,0.0,0.0,4,345
1,50,shared_aug,0.25648436446984607,0.09183762804197622,3,0.0,0.0,4,345
1,50,vanilla,0.2512262935439745,0.16912545165763126,3,0.0,0.0,4,345
1,50,vanilla_aug,0.5878021704653899,0.6283196002056175,3,0.0,0.0,4,345
1,100,shared,0.03778670541942117,0.02725183234420794,3,0.0,0.0,4,345
1,100,shared_aug,0.06780110547939931,0.058624643821059794,3,0.0,0.0,4,345
1,100,vanilla,0.02390099999805287,0.0030170987167306845,3,0.0,0.0,4,345
1,100,vanilla_aug,0.07759714312851426,0.0969571143446582,3,0.0,0.0,4,345
1,500,shared,0.019095480442047067,0.0023285115677942505,3,0.0,0.0,4,345
1,500,shared_aug,0.014117830122510534,0.00820134321295487,3,0.0,0.0,4,345
1,500,vanilla,0.020058500270048733,0.00889581512818896,3,0.0,0.0,4,345
1,500,vanilla_aug,0.017944872379302933,0.009224747229354463,3,0.0,0.0,4,345
1,1000,shared,0.01639987706827613,0.013226613687192423,3,0.0,0.0,4,345
1,1000,shared_aug,0.011809353871891833,0.005822138963983761,3,0.0,0.0,4,345
1,1000,vanilla,0.014346010672549364,0.0056218366236449714,3,0.0,0.0,4,345
1,1000,vanilla_aug,0.009856277455886133,0.0067092720437570835,3,0.0,0.0,4,345
1,5000,shared,0.009344027532885433,0.009222517862238417,3,0.0,0.0,4,345
1,5000,shared_aug,0.0063978897718091335,0.0034784786501609274,3,0.0,0.0,4,345
1,5000,vanilla,0.0052009462378918665,0.0028559598008669764,3,0.0,0.0,4,345
1,5000,vanilla_aug,0.013946312169233935,0.0015340255259896323,3,0.0,0.0,4,345
1,10000,shared,0.012387288268655499,0.006533103003098852,3,0.0,0.0,4,345
1,10000,shared_aug,0.0092915127364297,0.005204047951029713,3,0.0,0.0,4,345
1,10000,vanilla,0.006633086750904667,0.001856532601955803,3,0.0,0.0,4,345
1,10000,vanilla_aug,0.010152036324143366,0.0034914844011680285,3,0.0,0.0,4,345
2,50,shared,0.295359601577123,0.027530724775511935,3,0.0,0.0,4,651
2,50,shared_aug,0.27511307597160334,0.20640880032918885,3,0.0,0.0,4,651
2,50,vanilla,0.4083936909834544,0.31987886699399826,3,0.22734865049521125,0.16821072690137803,3,1297
2,50,vanilla_aug,0.1489841987689336,0.02322410816999549,3,0.021191120768586733,0.011272909600292811,3,1297
2,100,shared,0.4255196948846181,0.10222439940128764,3,0.0,0.0,4,651
2,100,shared_aug,1.2046477695306141,0.9952674919071418,3,0.0,0.0,4,651
2,100,vanilla,0.3912333349386851,0.15614096276759548,3,0.19037050505479172,0.06164359772939542,3,1297
2,100,vanilla_aug,0.3357032140096028,0.04093906758301672,3,0.01660081278532737,0.011260984194014457,3,1297
2,500,shared,0.07243708521127697,0.03620081477549418,3,0.0,0.0,4,651
2,500,shared_aug,0.13981916631261504,0.09189898127983681,3,0.0,0.0,4,651
2,500,vanilla,0.09147030860185619,0.028209995146570063,3,0.03712963809569673,0.021591377413204025,3,1297
2,500,vanilla_aug,0.10080091158548987,0.014071561293501548,3,0.011874118819832767,0.0014817853755545172,3,1297
2,1000,shared,0.11834294100602466,0.06687562140416621,3,0.0,0.0,4,651
2,1000,shared_aug,0.18741176029046372,0.010518703355665546,3,0.0,0.0,4,651
2,1000,vanilla,0.15126973638931906,0.06782673714782055,3,0.029768485575914338,0.012981056843384466,3,1297
2,1000,vanilla_aug,0.1546633293231328,0.09726020111981466,3,0.014312568120658365,0.00756290237482556,3,1297
2,5000,shared,0.0652853759626547,0.004272030549254232,3,0.0,0.0,4,651
2,5000,shared_aug,0.047415165230631766,0.02371937622058581,3,0.0,0.0,4,651
2,5000,vanilla,0.060978253682454374,0.027220283788982027,3,0.0210867725933591,0.008206915830464043,3,1297
2,5000,vanilla_aug,0.05193188786506647,0.01034893611953631,3,0.0108942737181981,0.003475017183336232,3,1297
2,10000,shared,0.043525662273168536,0.007377777521087517,3,0.0,0.0,4,651
2,10000,shared_aug,0.032824524988730695,0.008890378654369336,3,0.0,0.0,4,651
2,10000,vanilla,0.04409013191858924,0.02049776418823995,3,0.0166244758293032,0.0016550310202198297,3,1297
2,10000,vanilla_aug,0.03204386991759133,0.008209285586291077,3,0.012306132664283065,0.001860856791107772,3,1297
5,50,shared,4.303296804428101,2.7276168340026476,3,1.2034334574868855e-12,5.319351708884474e-13,3,651
5,50,shared_aug,3.6829485098520913,1.7506493475591056,3,3.2338644656368606e-12,3.755651592713281e-12,3,651
5,50,vanilla,8.130597114562988,2.4331341438008747,3,4.68148414293925,1.3883175000862042,3,7801
5,50,vanilla_aug,7.622518221537272,4.254118591236643,3,0.8367375731468201,0.2179678158230783,3,7801
5,100,shared,1.446367661158244,0.5048948960724128,3,1.8927531706310527e-12,1.310841123362713e-12,3,651
5,100,shared_aug,1.0480002363522847,0.2656653513890689,3,1.8340349493735828e-12,8.115354460301836e-13,3,651
5,100,vanilla,4.039461612701416,0.8922858623546097,3,3.2386128107706704,0.812158770617292,3,7801
5,100,vanilla_aug,2.654312531153361,0.4393788844524343,3,1.0186028679211934,0.18548597018088822,3,7801
5,500,shared,0.2993356585502624,0.09672927702597306,3,2.9159132429225818e-12,8.959995128083445e-13,3,651
5,500,shared_aug,0.5172770619392395,0.06690148646191074,3,1.997532167163455e-12,1.3829612727492108e-12,3,651
5,500,vanilla,1.8915751377741497,0.2791493258717814,3,1.2034794489542644,0.06510855667780018,3,7801
5,500,vanilla_aug,1.0152228474617004,0.07204789097151916,3,0.2634425014257431,0.07715160683906228,3,7801
5,1000,shared,0.39772791663805646,0.12729390157901413,3,4.5649165148163124e-12,1.474082561807125e-12,3,651
5,1000,shared_aug,0.43001585205396015,0.12482135128740404,3,6.904789890890828e-12,5.392668780829904e-12,3,651
