model depth,data_size,model,loss_mean,loss_std,loss_n_seeds_used,accuracy_mean,accuracy_std,accuracy_n_seeds_used,symmetry_error_mean,symmetry_error_std,symmetry_error_n_seeds_used,n_params
3,500,symmetric,0.6430315971374512,0.04761059895904925,3,0.6266666666666666,0.08082903768654763,3,6.986189287301025e-15,1.2402909042476731e-15,3,38323
3,500,symmetric_aug,0.6646056969960531,0.03130735309961933,3,0.6,0.034641016151377574,3,5.522943082585813e-15,3.306101042038149e-15,3,38323
3,500,vanilla,0.709057629108429,0.01597608564667748,3,0.4533333333333333,0.030550504633038916,3,0.007646381667776332,0.012269879708152404,3,283970
3,500,vanilla_aug,0.6813386281331381,0.023832802174359402,3,0.52,0.040000000000000036,3,0.0114000807361056,0.00819322993749575,3,283970
3,1500,symmetric,0.6395766758918763,0.030096920448776016,3,0.6355555555555555,0.026943012562182525,3,6.700771357211105e-15,1.2308204511716208e-15,3,38323
3,1500,symmetric_aug,0.6360686959160698,0.018308179447888307,3,0.6444444444444445,0.015396007178390007,3,6.313862184079583e-15,7.366510080947035e-16,3,38323
3,1500,vanilla,0.689138810634613,0.0007522882360441558,3,0.508888888888889,0.010183501544346323,3,0.013088189973495867,0.019748552730876404,3,283970
3,1500,vanilla_aug,0.6587724492284986,0.008179981663067652,3,0.62,0.011547005383792533,3,0.026483987768491066,0.0046283916047395466,3,283970
3,4110,symmetric,0.6260929411248473,0.01426040507835955,3,0.6366585563665855,0.020259523109159412,3,9.793815832875946e-15,2.948353982649629e-15,3,38323
3,4110,symmetric_aug,0.6175256538758506,0.02163081890653029,3,0.6577453365774534,0.01708946269724692,3,7.544016516314189e-15,2.4355749647301627e-16,3,38323
3,4110,vanilla,0.7521740511869476,0.01663973701590186,3,0.4987834549878345,0.00877263084054503,3,0.29349068275519774,0.15324425294254562,3,283970
3,4110,vanilla_aug,0.6412837810856679,0.010434700949178677,3,0.6285482562854826,0.016561701424705696,3,0.027854191928747097,0.002890322691369902,3,283970
5,500,symmetric,0.6607206662495931,0.02981738486699904,3,0.5933333333333334,0.030550504633038923,3,1.3007927675562048e-15,6.852906678039992e-16,3,587571
5,500,symmetric_aug,0.6740638415018717,0.027461933507908723,3,0.54,0.12165525060596442,3,1.654482068473197e-15,3.3358808481057257e-16,3,587571
5,500,vanilla,0.6940677563349406,0.01365780171820403,3,0.5066666666666667,0.06429100507328636,3,0.00025594763743958876,0.0002552842076232178,3,1222146
5,500,vanilla_aug,0.6923154989878336,0.0015149406027540413,3,0.5266666666666667,0.011547005383792533,3,0.008310692648713734,0.00879841082693345,3,1222146
5,1500,symmetric,0.6332235980033875,0.01370551586968624,3,0.64,0.013333333333333308,3,3.1917290454567888e-15,3.2584849719391367e-16,3,587571
5,1500,symmetric_aug,0.636481131447686,0.004499424055111177,3,0.6422222222222222,0.00384900179459745,3,3.267689223749013e-15,6.427405407670618e-16,3,587571
5,1500,vanilla,0.6893492794036865,0.006578376912472678,3,0.52,0.011547005383792533,3,0.019677541280786134,0.007554554026829936,3,1222146
5,1500,vanilla_aug,0.6651135349273681,0.01939138663386037,3,0.5977777777777779,0.007698003589195036,3,0.04350531184011034,0.019943836309295165,3,1222146
