k_sym,size_tag,data_size,model,loss_mean,loss_std,loss_n_seeds_used,symmetry_error_mean,symmetry_error_std,symmetry_error_n_seeds_used,n_params
2,small,500,shared,372.90191650390625,206.39433537970152,3,4.2481630915571405e-12,2.111078786545655e-12,3,3948
2,small,500,shared_aug,365.46800740559894,201.8110144912626,3,4.286079593092869e-12,2.2190926452903966e-12,3,3948
2,small,500,vanilla,405.64739990234375,111.76233612934713,3,112.28910319010417,15.35536982850347,3,3952
2,small,500,vanilla_aug,304.2534434000651,144.72963592151433,3,22.219608306884766,6.157459118164945,3,3952
2,small,2000,shared,3962.24609375,3018.4037595647555,3,5.414881274849274e-11,2.59711858892741e-11,3,3948
2,small,2000,shared_aug,3917.1466064453125,3561.9038476533146,3,5.692016649683218e-11,2.3974648438556278e-11,3,3948
2,small,2000,vanilla,3304.3092041015625,2900.443264565227,3,1843.9078776041667,1385.070034338605,3,3952
2,small,2000,vanilla_aug,2568.252400716146,1500.394845637589,3,639.4360809326172,662.9938083513094,3,3952
2,small,8000,shared,3080.0148111979165,893.3781870537317,3,4.02222838369326e-10,1.6844360368031274e-10,3,3948
2,small,8000,shared_aug,3304.317626953125,1433.2540243711078,3,3.998260704000482e-10,1.6388199863864215e-10,3,3948
2,small,8000,vanilla,5420.246337890625,3519.0127051123136,3,4105.98974609375,1283.0503000725275,3,3952
2,small,8000,vanilla_aug,2749.9287312825522,1569.3565907153832,3,1180.6149291992188,799.0773374832434,3,3952
2,medium,500,shared,332.45337931315106,157.66178194909781,3,6.1987111045954295e-12,6.792613838466769e-13,3,14972
2,medium,500,shared_aug,366.9652964274089,205.61757311664044,3,6.971875044873658e-12,1.8186423073825893e-12,3,14972
2,medium,500,vanilla,434.87314860026044,88.5286162873975,3,117.78487396240234,47.20395488896642,3,20272
2,medium,500,vanilla_aug,319.6904551188151,136.9480816273719,3,9.955811659495035,3.3830134366646893,3,20272
2,medium,2000,shared,3723.307820638021,3464.210915981316,3,1.0421930448275181e-10,4.462568924544802e-11,3,14972
2,medium,2000,shared_aug,3599.297322591146,2806.2228474165163,3,1.0226632850736846e-10,4.0808441824881726e-11,3,14972
2,medium,2000,vanilla,3222.9380696614585,2624.3741560811786,3,2234.8209635416665,1952.7700180934823,3,20272
2,medium,2000,vanilla_aug,2713.030029296875,1781.18993187556,3,354.01172892252606,337.6072526053475,3,20272
2,medium,8000,shared,5190.683430989583,1401.7069969385568,3,7.903492675135718e-10,4.631397638717406e-10,3,14972
