n_block,data_size,seed,model,loss,symmetry_error,n_params
1,50,0,vanilla,0.09037116914987564,0.0,345
1,50,0,shared,0.061212122440338135,0.0,345
1,50,0,vanilla_aug,0.03957405313849449,0.0,345
1,50,0,shared_aug,0.04066847264766693,0.0,345
1,50,1,vanilla,0.42755818367004395,0.0,345
1,50,1,shared,0.43534761667251587,0.0,345
1,50,1,vanilla_aug,0.4503704011440277,0.0,345
1,50,1,shared_aug,0.3596595823764801,0.0,345
1,50,2,vanilla,15.530604362487793,0.0,345
1,50,2,shared,0.08398215472698212,0.0,345
1,50,2,vanilla_aug,18.676494598388672,0.0,345
1,50,2,shared_aug,0.1836763471364975,0.0,345
1,50,3,vanilla,0.0354078970849514,0.0,345
1,50,3,shared,0.23063647747039795,0.0,345
1,50,3,vanilla_aug,0.015322412364184856,0.0,345
1,50,3,shared_aug,0.22611716389656067,0.0,345
1,50,4,vanilla,0.2357495278120041,0.0,345
1,50,4,shared,1.1463011503219604,0.0,345
1,50,4,vanilla_aug,1.2734620571136475,0.0,345
1,50,4,shared_aug,1.384573221206665,0.0,345
1,100,0,vanilla,0.020888255909085274,0.0,345
1,100,0,shared,0.013841098174452782,0.0,345
1,100,0,vanilla_aug,0.01428544707596302,0.0,345
1,100,0,shared_aug,0.03687644749879837,0.0,345
1,100,1,vanilla,0.02692243456840515,0.0,345
1,100,1,shared,0.027899757027626038,0.0,345
1,100,1,vanilla_aug,0.02858920954167843,0.0,345
1,100,1,shared_aug,0.008267629891633987,0.0,345
1,100,2,vanilla,0.35767030715942383,0.0,345
1,100,2,shared,0.06860195100307465,0.0,345
1,100,2,vanilla_aug,0.1892753541469574,0.0,345
1,100,2,shared_aug,0.13541319966316223,0.0,345
1,100,3,vanilla,0.018083568662405014,0.0,345
1,100,3,shared,0.19303862750530243,0.0,345
1,100,3,vanilla_aug,0.2957477569580078,0.0,345
1,100,3,shared_aug,0.26016926765441895,0.0,345
1,100,4,vanilla,0.02389230951666832,0.0,345
1,100,4,shared,0.016858408227562904,0.0,345
1,100,4,vanilla_aug,0.014926865696907043,0.0,345
1,100,4,shared_aug,0.031113669276237488,0.0,345
1,500,0,vanilla,0.0441243015229702,0.0,345
1,500,0,shared,0.017204569652676582,0.0,345
1,500,0,vanilla_aug,0.018659058958292007,0.0,345
1,500,0,shared_aug,0.008318368345499039,0.0,345
1,500,1,vanilla,0.007847050204873085,0.0,345
1,500,1,shared,0.05256994068622589,0.0,345
1,500,1,vanilla_aug,0.12158721685409546,0.0,345
1,500,1,shared_aug,0.02379843220114708,0.0,345
1,500,2,vanilla,0.03022976964712143,0.0,345
1,500,2,shared,0.018385548144578934,0.0,345
1,500,2,vanilla_aug,0.0017172879306599498,0.0,345
1,500,2,shared_aug,0.0021280793007463217,0.0,345
1,500,3,vanilla,0.01621563918888569,0.0,345
1,500,3,shared,0.013617822900414467,0.0,345
1,500,3,vanilla_aug,0.008383790031075478,0.0,345
1,500,3,shared_aug,0.01053398847579956,0.0,345
1,500,4,vanilla,0.013730091974139214,0.0,345
1,500,4,shared,0.02169632352888584,0.0,345
1,500,4,vanilla_aug,0.02679176814854145,0.0,345
1,500,4,shared_aug,0.023501133546233177,0.0,345
1,1000,0,vanilla,0.016301173716783524,0.0,345
1,1000,0,shared,0.017989778891205788,0.0,345
1,1000,0,vanilla_aug,0.017565490677952766,0.0,345
1,1000,0,shared_aug,0.017023775726556778,0.0,345
